순번,변수,라벨,문항그룹,유형,결측률(%),고유값수,값설명,노트북사용
18,SQ4,주거형태,SQ. 선문항 — 가구원수·주거형태·성별·출생연월,범주형(코드),0.0,4,"1=단독주택(다가구); 2=아파트; 3=연립 및 다세대주택; 4=기타(영업용 건물 내 거주, 오피스텔 등)",
19,SQ6,응답자 성별,SQ. 선문항 — 가구원수·주거형태·성별·출생연월,범주형(코드),0.0,2,1=남; 2=여,O
20,SQ7_1,응답자 출생연월_(년),SQ. 선문항 — 가구원수·주거형태·성별·출생연월,수치형,0.0,81,범위 1930~2010,O
21,SQ8,가구주와 관계,SQ. 선문항 — 가구원수·주거형태·성별·출생연월,범주형(코드),0.0,4,1=가구주 본인; 2=가구주의 배우자; 3=가구주의 자녀; 4=기타,O
22,Q1A1,문1. 지난해 1년간 경험한 산림휴양.복지활동 유형,기타,범주형(코드),43.1,1,1=일상형; 2=당일형; 3=숙박형; 4=모두 경험 없음,O
23,Q1A2,문1. 지난해 1년간 경험한 산림휴양.복지활동 유형,기타,범주형(코드),46.5,1,1=일상형; 2=당일형; 3=숙박형; 4=모두 경험 없음,O
24,Q1A3,문1. 지난해 1년간 경험한 산림휴양.복지활동 유형,기타,범주형(코드),70.3,1,1=일상형; 2=당일형; 3=숙박형; 4=모두 경험 없음,O
25,Q1A4,문1. 지난해 1년간 경험한 산림휴양.복지활동 유형,기타,범주형(코드),87.5,1,1=일상형; 2=당일형; 3=숙박형; 4=모두 경험 없음,O
26,Q1_1A1,문1-1. 지난해 1년간 산림휴양.복지활동 미경험 이유(1순위),Q1. 활동 경험 유무 · 미경험 이유,범주형(코드),87.5,12,1=흥미가 없어서; 2=건강이 좋지 않아서; 3=시간이 없어서; 4=경비가 부족해서; 5=정보가 부족해서; 6=시설이 불편해서; 7=가족 중 노약자가 있어서; 8=교통이 불편해서; 9=바다 등 다른 여행지가 더 좋아서; 10=사람이 많아 혼잡해서; 11=주변에 관련 시설/공간이 없어서; 12=기타,O
27,Q1_1A2,문1-1. 지난해 1년간 산림휴양.복지활동 미경험 이유(2순위),Q1. 활동 경험 유무 · 미경험 이유,범주형(코드),88.9,12,1=흥미가 없어서; 2=건강이 좋지 않아서; 3=시간이 없어서; 4=경비가 부족해서; 5=정보가 부족해서; 6=시설이 불편해서; 7=가족 중 노약자가 있어서; 8=교통이 불편해서; 9=바다 등 다른 여행지가 더 좋아서; 10=사람이 많아 혼잡해서; 11=주변에 관련 시설/공간이 없어서; 12=기타,O
28,Q1_1_ETC,문1-1. 지난해 1년간 산림휴양.복지활동 미경험 이유_기타내용,Q1. 활동 경험 유무 · 미경험 이유,자유응답,99.9,8,귀찮아서 / 학업에 집중하느라 / 아기 태어나서,O
29,Q1_2_1,문1-2. 지난해 1년간 산림휴양.복지활동 미경험 상세 이유_1) 흥미가 없는 구체적 이유,Q1. 활동 경험 유무 · 미경험 이유,범주형(코드),92.6,3,1=다른 여가활동을 하느라 산림휴양.복지활동에 흥미가 없어서; 2=여가활동 자체에 흥미가 없어서; 3=흥미 있는 산림복지시설 및 산림교육/체험 프로그램이 없어서; 4=기타,O
30,Q1_2_1_ETC,문1-2. 지난해 1년간 산림휴양.복지활동 미경험 상세 이유_1) 흥미가 없는 구체적 이유_기타내용,Q1. 활동 경험 유무 · 미경험 이유,삭제됨(전량결측),100.0,0,,O
31,Q1_2_2,문1-2. 지난해 1년간 산림휴양.복지활동 미경험 상세 이유_2) 시간이 없는 구체적 이유,Q1. 활동 경험 유무 · 미경험 이유,범주형(코드),93.4,3,1=다른 여가활동을 하느라 산림휴양.복지활동을 할 시간이 없어서; 2=여가활동 자체를 즐길 시간이 없어서; 3=산림휴양.복지활동을 하고 싶으나 관련 시설 및 공간까지 이동할 시간이 여의치 않아서; 4=기타,O
32,Q1_2_2_ETC,문1-2. 지난해 1년간 산림휴양.복지활동 미경험 상세 이유_2) 시간이 없는 구체적 이유_기타내용,Q1. 활동 경험 유무 · 미경험 이유,삭제됨(전량결측),100.0,0,,O
33,Q2_1_1,문2-1. 일상형 산림휴양.복지활동 주기(주/월),Q2. 일상형 — 활동 빈도·소요시간,범주형(코드),43.1,2,1=주; 2=월,
34,Q2_1_2,문2-1. 일상형 산림휴양.복지활동 주기(회),Q2. 일상형 — 활동 빈도·소요시간,수치형,43.1,12,범위 1~20,
35,Q2_2_1,문2-1. 일상형 산림휴양.복지활동 시간(시간),Q2. 일상형 — 활동 빈도·소요시간,수치형,43.1,4,범위 0~3,
36,Q2_2_2,문2-1. 일상형 산림휴양.복지활동 시간(분),Q2. 일상형 — 활동 빈도·소요시간,수치형,43.1,16,범위 0~55,
37,Q3_1,문3-1. 일상형 산림휴양.복지활동 교통수단,Q3. 일상형 — 교통수단·이동시간,범주형(코드),43.1,4,1=도보; 2=자전거; 3=자가용; 4=대중교통; 5=기타,
38,Q3_1_ETC,문3-1. 일상형 산림휴양.복지활동 교통수단_기타내용,Q3. 일상형 — 교통수단·이동시간,삭제됨(전량결측),100.0,0,,
39,Q3_2_1,문3-1. 일상형 산림휴양.복지활동 이동시간(시간),Q3. 일상형 — 교통수단·이동시간,수치형,43.1,2,범위 0~1,
40,Q3_2_2,문3-1. 일상형 산림휴양.복지활동 이동시간(분),Q3. 일상형 — 교통수단·이동시간,수치형,43.1,30,범위 0~55,
41,Q4,문4. 일상형 산림휴양.복지활동 동행인,Q4. 일상형 — 동행인,범주형(코드),43.1,8,"1=혼자; 2=가족(부모, 배우자, 자녀, 형제); 3=친척; 4=친구/연인; 5=(직장)동료; 6=친목단체/모임(동호회, 종교단체 등); 7=학교 단체(소풍 등); 8=기타",
42,Q4_ETC,문4. 일상형 산림휴양.복지활동 동행인_기타내용,Q4. 일상형 — 동행인,자유응답,99.9,5,지인 / 주민 / 이웃,
43,Q4_1,문4-1. 일상형 산림휴양.복지활동 시 반려동물 동반 여부,Q4. 일상형 — 동행인,범주형(코드),43.1,2,1=예; 2=아니오,
44,Q5A1,문5. 일상형 산림휴양.복지활동 공간(1순위),기타,범주형(코드),43.1,6,1=산; 2=수변공원; 3=공원; 4=가로수(숲); 5=건물 주변 정원(숲); 6=기타,
45,Q5A2,문5. 일상형 산림휴양.복지활동 공간(2순위),기타,범주형(코드),46.8,6,1=산; 2=수변공원; 3=공원; 4=가로수(숲); 5=건물 주변 정원(숲); 6=기타,
46,Q5_ETC,문5. 일상형 산림휴양.복지활동 공간_기타내용,Q5. 일상형 — 활동 공간,자유응답,99.9,10,집근처 숲 산주위 / 집근처 숲속길 / 동산주변,
47,Q6,문6. 일상형 산림휴양.복지활동 목적,Q6. 일상형 — 활동 목적,범주형(코드),43.1,7,"1=휴양 및 휴식을 취하기 위해; 2=건강 증진을 위해; 3=질병 치유를 위해; 4=교육, 학습을 위해; 5=취미 및 레포츠 활동을 위해; 6=친목 활동을 위해; 7=기타",
48,Q6_ETC,문6. 일상형 산림휴양.복지활동 목적_기타내용,Q6. 일상형 — 활동 목적,자유응답,100.0,2,부모님 / 일상적루틴,
49,Q7_1,문7-1. 일상형 산림휴양.복지활동 시기_주간,Q7. 일상형 — 만족/불만족 요인,범주형(코드),43.1,3,1=주중; 2=주말; 3=공휴일(휴가 포함),
50,Q7_2,문7-2. 일상형 산림휴양.복지활동 시기_시간대,Q7. 일상형 — 만족/불만족 요인,범주형(코드),43.1,6,1=새벽(6시 이전); 2=오전(6시-9시 이전); 3=오전(9시-12시 이전); 4=오후(12시-15시 이전); 5=오후(15시-18시 이전); 6=저녁/밤(18시 이후),
51,Q8,문8. 일상형 산림휴양.복지활동 만족도,Q8. 일상형 — 종합 만족도,범주형(코드),43.1,9,0=ⓞ 매우 불만족; 1=①; 2=②; 3=③; 4=④; 5=⑤ 보통; 6=⑥; 7=⑦; 8=⑧; 9=⑨; 10=⑩ 매우 만족,O
52,Q9A1,문9. 일상형 산림휴양.복지활동 시 이용희망 공간(1순위),기타,범주형(코드),43.1,7,1=산; 2=수변공원; 3=공원; 4=가로수(숲); 5=건물 주변 정원(숲); 6=기타; 7=없음,
53,Q9A2,문9. 일상형 산림휴양.복지활동 시 이용희망 공간(2순위),기타,범주형(코드),44.6,6,1=산; 2=수변공원; 3=공원; 4=가로수(숲); 5=건물 주변 정원(숲); 6=기타; 7=없음,
54,Q9_ETC,문9. 일상형 산림휴양.복지활동 시 이용희망 공간_기타내용,Q9. 일상형 — 향후 이용희망 공간,자유응답,100.0,2,올레길 / 한라생태숲,
55,Q10_1A1,문10-1. 당일형 산림휴양.복지활동 경험 종류,Q10-1. 당일형 — 경험한 활동 종류(29종),범주형(코드),86.3,1,"1=등산; 2=하이킹(산책); 3=트레킹; 4=오리엔티어링, 지오캐싱; 5=소풍(피크닉); 6=야영(캠핑); 7=백패킹(배낭도보여행); 8=동식물 관찰 및 학습; 9=자연풍경감상; 10=명소탐방; 11=산나물 등 임산물 수확체험; 12=나무심기, 숲가꾸기 작업체험; 13=산림체조; 14=산림욕; 15=목재공작(목공예); 16=숲속생활 체험; 17=산악마라톤; 18=산악스키(스노슈잉 포함); 19=산악자전거 타기; 20=행글라이딩 및 패러글라이딩; 21=래프팅, 계곡물놀이 등 수상활동; 22=산악승마; 23=동굴탐험, 계곡탐험; 24=암벽 및 빙벽타기; 25=숲속 족욕 및 스파; 26=숲속 문화공연 체험 .관람; 27=로프체험(짚라인 등); 28=별 관찰; 29=기타",
56,Q10_1A2,문10-1. 당일형 산림휴양.복지활동 경험 종류,Q10-1. 당일형 — 경험한 활동 종류(29종),범주형(코드),79.8,1,"1=등산; 2=하이킹(산책); 3=트레킹; 4=오리엔티어링, 지오캐싱; 5=소풍(피크닉); 6=야영(캠핑); 7=백패킹(배낭도보여행); 8=동식물 관찰 및 학습; 9=자연풍경감상; 10=명소탐방; 11=산나물 등 임산물 수확체험; 12=나무심기, 숲가꾸기 작업체험; 13=산림체조; 14=산림욕; 15=목재공작(목공예); 16=숲속생활 체험; 17=산악마라톤; 18=산악스키(스노슈잉 포함); 19=산악자전거 타기; 20=행글라이딩 및 패러글라이딩; 21=래프팅, 계곡물놀이 등 수상활동; 22=산악승마; 23=동굴탐험, 계곡탐험; 24=암벽 및 빙벽타기; 25=숲속 족욕 및 스파; 26=숲속 문화공연 체험 .관람; 27=로프체험(짚라인 등); 28=별 관찰; 29=기타",
57,Q10_1A3,문10-1. 당일형 산림휴양.복지활동 경험 종류,Q10-1. 당일형 — 경험한 활동 종류(29종),범주형(코드),94.0,1,"1=등산; 2=하이킹(산책); 3=트레킹; 4=오리엔티어링, 지오캐싱; 5=소풍(피크닉); 6=야영(캠핑); 7=백패킹(배낭도보여행); 8=동식물 관찰 및 학습; 9=자연풍경감상; 10=명소탐방; 11=산나물 등 임산물 수확체험; 12=나무심기, 숲가꾸기 작업체험; 13=산림체조; 14=산림욕; 15=목재공작(목공예); 16=숲속생활 체험; 17=산악마라톤; 18=산악스키(스노슈잉 포함); 19=산악자전거 타기; 20=행글라이딩 및 패러글라이딩; 21=래프팅, 계곡물놀이 등 수상활동; 22=산악승마; 23=동굴탐험, 계곡탐험; 24=암벽 및 빙벽타기; 25=숲속 족욕 및 스파; 26=숲속 문화공연 체험 .관람; 27=로프체험(짚라인 등); 28=별 관찰; 29=기타",
58,Q10_1A4,문10-1. 당일형 산림휴양.복지활동 경험 종류,Q10-1. 당일형 — 경험한 활동 종류(29종),범주형(코드),100.0,1,"1=등산; 2=하이킹(산책); 3=트레킹; 4=오리엔티어링, 지오캐싱; 5=소풍(피크닉); 6=야영(캠핑); 7=백패킹(배낭도보여행); 8=동식물 관찰 및 학습; 9=자연풍경감상; 10=명소탐방; 11=산나물 등 임산물 수확체험; 12=나무심기, 숲가꾸기 작업체험; 13=산림체조; 14=산림욕; 15=목재공작(목공예); 16=숲속생활 체험; 17=산악마라톤; 18=산악스키(스노슈잉 포함); 19=산악자전거 타기; 20=행글라이딩 및 패러글라이딩; 21=래프팅, 계곡물놀이 등 수상활동; 22=산악승마; 23=동굴탐험, 계곡탐험; 24=암벽 및 빙벽타기; 25=숲속 족욕 및 스파; 26=숲속 문화공연 체험 .관람; 27=로프체험(짚라인 등); 28=별 관찰; 29=기타",
59,Q10_1A5,문10-1. 당일형 산림휴양.복지활동 경험 종류,Q10-1. 당일형 — 경험한 활동 종류(29종),범주형(코드),92.1,1,"1=등산; 2=하이킹(산책); 3=트레킹; 4=오리엔티어링, 지오캐싱; 5=소풍(피크닉); 6=야영(캠핑); 7=백패킹(배낭도보여행); 8=동식물 관찰 및 학습; 9=자연풍경감상; 10=명소탐방; 11=산나물 등 임산물 수확체험; 12=나무심기, 숲가꾸기 작업체험; 13=산림체조; 14=산림욕; 15=목재공작(목공예); 16=숲속생활 체험; 17=산악마라톤; 18=산악스키(스노슈잉 포함); 19=산악자전거 타기; 20=행글라이딩 및 패러글라이딩; 21=래프팅, 계곡물놀이 등 수상활동; 22=산악승마; 23=동굴탐험, 계곡탐험; 24=암벽 및 빙벽타기; 25=숲속 족욕 및 스파; 26=숲속 문화공연 체험 .관람; 27=로프체험(짚라인 등); 28=별 관찰; 29=기타",
60,Q10_1A6,문10-1. 당일형 산림휴양.복지활동 경험 종류,Q10-1. 당일형 — 경험한 활동 종류(29종),범주형(코드),98.5,1,"1=등산; 2=하이킹(산책); 3=트레킹; 4=오리엔티어링, 지오캐싱; 5=소풍(피크닉); 6=야영(캠핑); 7=백패킹(배낭도보여행); 8=동식물 관찰 및 학습; 9=자연풍경감상; 10=명소탐방; 11=산나물 등 임산물 수확체험; 12=나무심기, 숲가꾸기 작업체험; 13=산림체조; 14=산림욕; 15=목재공작(목공예); 16=숲속생활 체험; 17=산악마라톤; 18=산악스키(스노슈잉 포함); 19=산악자전거 타기; 20=행글라이딩 및 패러글라이딩; 21=래프팅, 계곡물놀이 등 수상활동; 22=산악승마; 23=동굴탐험, 계곡탐험; 24=암벽 및 빙벽타기; 25=숲속 족욕 및 스파; 26=숲속 문화공연 체험 .관람; 27=로프체험(짚라인 등); 28=별 관찰; 29=기타",
61,Q10_1A7,문10-1. 당일형 산림휴양.복지활동 경험 종류,Q10-1. 당일형 — 경험한 활동 종류(29종),범주형(코드),99.9,1,"1=등산; 2=하이킹(산책); 3=트레킹; 4=오리엔티어링, 지오캐싱; 5=소풍(피크닉); 6=야영(캠핑); 7=백패킹(배낭도보여행); 8=동식물 관찰 및 학습; 9=자연풍경감상; 10=명소탐방; 11=산나물 등 임산물 수확체험; 12=나무심기, 숲가꾸기 작업체험; 13=산림체조; 14=산림욕; 15=목재공작(목공예); 16=숲속생활 체험; 17=산악마라톤; 18=산악스키(스노슈잉 포함); 19=산악자전거 타기; 20=행글라이딩 및 패러글라이딩; 21=래프팅, 계곡물놀이 등 수상활동; 22=산악승마; 23=동굴탐험, 계곡탐험; 24=암벽 및 빙벽타기; 25=숲속 족욕 및 스파; 26=숲속 문화공연 체험 .관람; 27=로프체험(짚라인 등); 28=별 관찰; 29=기타",
62,Q10_1A8,문10-1. 당일형 산림휴양.복지활동 경험 종류,Q10-1. 당일형 — 경험한 활동 종류(29종),범주형(코드),98.7,1,"1=등산; 2=하이킹(산책); 3=트레킹; 4=오리엔티어링, 지오캐싱; 5=소풍(피크닉); 6=야영(캠핑); 7=백패킹(배낭도보여행); 8=동식물 관찰 및 학습; 9=자연풍경감상; 10=명소탐방; 11=산나물 등 임산물 수확체험; 12=나무심기, 숲가꾸기 작업체험; 13=산림체조; 14=산림욕; 15=목재공작(목공예); 16=숲속생활 체험; 17=산악마라톤; 18=산악스키(스노슈잉 포함); 19=산악자전거 타기; 20=행글라이딩 및 패러글라이딩; 21=래프팅, 계곡물놀이 등 수상활동; 22=산악승마; 23=동굴탐험, 계곡탐험; 24=암벽 및 빙벽타기; 25=숲속 족욕 및 스파; 26=숲속 문화공연 체험 .관람; 27=로프체험(짚라인 등); 28=별 관찰; 29=기타",
63,Q10_1A9,문10-1. 당일형 산림휴양.복지활동 경험 종류,Q10-1. 당일형 — 경험한 활동 종류(29종),범주형(코드),69.1,1,"1=등산; 2=하이킹(산책); 3=트레킹; 4=오리엔티어링, 지오캐싱; 5=소풍(피크닉); 6=야영(캠핑); 7=백패킹(배낭도보여행); 8=동식물 관찰 및 학습; 9=자연풍경감상; 10=명소탐방; 11=산나물 등 임산물 수확체험; 12=나무심기, 숲가꾸기 작업체험; 13=산림체조; 14=산림욕; 15=목재공작(목공예); 16=숲속생활 체험; 17=산악마라톤; 18=산악스키(스노슈잉 포함); 19=산악자전거 타기; 20=행글라이딩 및 패러글라이딩; 21=래프팅, 계곡물놀이 등 수상활동; 22=산악승마; 23=동굴탐험, 계곡탐험; 24=암벽 및 빙벽타기; 25=숲속 족욕 및 스파; 26=숲속 문화공연 체험 .관람; 27=로프체험(짚라인 등); 28=별 관찰; 29=기타",
64,Q10_1A10,문10-1. 당일형 산림휴양.복지활동 경험 종류,Q10-1. 당일형 — 경험한 활동 종류(29종),범주형(코드),88.4,1,"1=등산; 2=하이킹(산책); 3=트레킹; 4=오리엔티어링, 지오캐싱; 5=소풍(피크닉); 6=야영(캠핑); 7=백패킹(배낭도보여행); 8=동식물 관찰 및 학습; 9=자연풍경감상; 10=명소탐방; 11=산나물 등 임산물 수확체험; 12=나무심기, 숲가꾸기 작업체험; 13=산림체조; 14=산림욕; 15=목재공작(목공예); 16=숲속생활 체험; 17=산악마라톤; 18=산악스키(스노슈잉 포함); 19=산악자전거 타기; 20=행글라이딩 및 패러글라이딩; 21=래프팅, 계곡물놀이 등 수상활동; 22=산악승마; 23=동굴탐험, 계곡탐험; 24=암벽 및 빙벽타기; 25=숲속 족욕 및 스파; 26=숲속 문화공연 체험 .관람; 27=로프체험(짚라인 등); 28=별 관찰; 29=기타",
65,Q10_1A11,문10-1. 당일형 산림휴양.복지활동 경험 종류,Q10-1. 당일형 — 경험한 활동 종류(29종),범주형(코드),99.4,1,"1=등산; 2=하이킹(산책); 3=트레킹; 4=오리엔티어링, 지오캐싱; 5=소풍(피크닉); 6=야영(캠핑); 7=백패킹(배낭도보여행); 8=동식물 관찰 및 학습; 9=자연풍경감상; 10=명소탐방; 11=산나물 등 임산물 수확체험; 12=나무심기, 숲가꾸기 작업체험; 13=산림체조; 14=산림욕; 15=목재공작(목공예); 16=숲속생활 체험; 17=산악마라톤; 18=산악스키(스노슈잉 포함); 19=산악자전거 타기; 20=행글라이딩 및 패러글라이딩; 21=래프팅, 계곡물놀이 등 수상활동; 22=산악승마; 23=동굴탐험, 계곡탐험; 24=암벽 및 빙벽타기; 25=숲속 족욕 및 스파; 26=숲속 문화공연 체험 .관람; 27=로프체험(짚라인 등); 28=별 관찰; 29=기타",
66,Q10_1A12,문10-1. 당일형 산림휴양.복지활동 경험 종류,Q10-1. 당일형 — 경험한 활동 종류(29종),범주형(코드),99.9,1,"1=등산; 2=하이킹(산책); 3=트레킹; 4=오리엔티어링, 지오캐싱; 5=소풍(피크닉); 6=야영(캠핑); 7=백패킹(배낭도보여행); 8=동식물 관찰 및 학습; 9=자연풍경감상; 10=명소탐방; 11=산나물 등 임산물 수확체험; 12=나무심기, 숲가꾸기 작업체험; 13=산림체조; 14=산림욕; 15=목재공작(목공예); 16=숲속생활 체험; 17=산악마라톤; 18=산악스키(스노슈잉 포함); 19=산악자전거 타기; 20=행글라이딩 및 패러글라이딩; 21=래프팅, 계곡물놀이 등 수상활동; 22=산악승마; 23=동굴탐험, 계곡탐험; 24=암벽 및 빙벽타기; 25=숲속 족욕 및 스파; 26=숲속 문화공연 체험 .관람; 27=로프체험(짚라인 등); 28=별 관찰; 29=기타",
67,Q10_1A13,문10-1. 당일형 산림휴양.복지활동 경험 종류,Q10-1. 당일형 — 경험한 활동 종류(29종),범주형(코드),99.6,1,"1=등산; 2=하이킹(산책); 3=트레킹; 4=오리엔티어링, 지오캐싱; 5=소풍(피크닉); 6=야영(캠핑); 7=백패킹(배낭도보여행); 8=동식물 관찰 및 학습; 9=자연풍경감상; 10=명소탐방; 11=산나물 등 임산물 수확체험; 12=나무심기, 숲가꾸기 작업체험; 13=산림체조; 14=산림욕; 15=목재공작(목공예); 16=숲속생활 체험; 17=산악마라톤; 18=산악스키(스노슈잉 포함); 19=산악자전거 타기; 20=행글라이딩 및 패러글라이딩; 21=래프팅, 계곡물놀이 등 수상활동; 22=산악승마; 23=동굴탐험, 계곡탐험; 24=암벽 및 빙벽타기; 25=숲속 족욕 및 스파; 26=숲속 문화공연 체험 .관람; 27=로프체험(짚라인 등); 28=별 관찰; 29=기타",
68,Q10_1A14,문10-1. 당일형 산림휴양.복지활동 경험 종류,Q10-1. 당일형 — 경험한 활동 종류(29종),범주형(코드),97.4,1,"1=등산; 2=하이킹(산책); 3=트레킹; 4=오리엔티어링, 지오캐싱; 5=소풍(피크닉); 6=야영(캠핑); 7=백패킹(배낭도보여행); 8=동식물 관찰 및 학습; 9=자연풍경감상; 10=명소탐방; 11=산나물 등 임산물 수확체험; 12=나무심기, 숲가꾸기 작업체험; 13=산림체조; 14=산림욕; 15=목재공작(목공예); 16=숲속생활 체험; 17=산악마라톤; 18=산악스키(스노슈잉 포함); 19=산악자전거 타기; 20=행글라이딩 및 패러글라이딩; 21=래프팅, 계곡물놀이 등 수상활동; 22=산악승마; 23=동굴탐험, 계곡탐험; 24=암벽 및 빙벽타기; 25=숲속 족욕 및 스파; 26=숲속 문화공연 체험 .관람; 27=로프체험(짚라인 등); 28=별 관찰; 29=기타",
69,Q10_1A15,문10-1. 당일형 산림휴양.복지활동 경험 종류,Q10-1. 당일형 — 경험한 활동 종류(29종),범주형(코드),99.9,1,"1=등산; 2=하이킹(산책); 3=트레킹; 4=오리엔티어링, 지오캐싱; 5=소풍(피크닉); 6=야영(캠핑); 7=백패킹(배낭도보여행); 8=동식물 관찰 및 학습; 9=자연풍경감상; 10=명소탐방; 11=산나물 등 임산물 수확체험; 12=나무심기, 숲가꾸기 작업체험; 13=산림체조; 14=산림욕; 15=목재공작(목공예); 16=숲속생활 체험; 17=산악마라톤; 18=산악스키(스노슈잉 포함); 19=산악자전거 타기; 20=행글라이딩 및 패러글라이딩; 21=래프팅, 계곡물놀이 등 수상활동; 22=산악승마; 23=동굴탐험, 계곡탐험; 24=암벽 및 빙벽타기; 25=숲속 족욕 및 스파; 26=숲속 문화공연 체험 .관람; 27=로프체험(짚라인 등); 28=별 관찰; 29=기타",
70,Q10_1A16,문10-1. 당일형 산림휴양.복지활동 경험 종류,Q10-1. 당일형 — 경험한 활동 종류(29종),범주형(코드),99.8,1,"1=등산; 2=하이킹(산책); 3=트레킹; 4=오리엔티어링, 지오캐싱; 5=소풍(피크닉); 6=야영(캠핑); 7=백패킹(배낭도보여행); 8=동식물 관찰 및 학습; 9=자연풍경감상; 10=명소탐방; 11=산나물 등 임산물 수확체험; 12=나무심기, 숲가꾸기 작업체험; 13=산림체조; 14=산림욕; 15=목재공작(목공예); 16=숲속생활 체험; 17=산악마라톤; 18=산악스키(스노슈잉 포함); 19=산악자전거 타기; 20=행글라이딩 및 패러글라이딩; 21=래프팅, 계곡물놀이 등 수상활동; 22=산악승마; 23=동굴탐험, 계곡탐험; 24=암벽 및 빙벽타기; 25=숲속 족욕 및 스파; 26=숲속 문화공연 체험 .관람; 27=로프체험(짚라인 등); 28=별 관찰; 29=기타",
71,Q10_1A17,문10-1. 당일형 산림휴양.복지활동 경험 종류,Q10-1. 당일형 — 경험한 활동 종류(29종),범주형(코드),100.0,1,"1=등산; 2=하이킹(산책); 3=트레킹; 4=오리엔티어링, 지오캐싱; 5=소풍(피크닉); 6=야영(캠핑); 7=백패킹(배낭도보여행); 8=동식물 관찰 및 학습; 9=자연풍경감상; 10=명소탐방; 11=산나물 등 임산물 수확체험; 12=나무심기, 숲가꾸기 작업체험; 13=산림체조; 14=산림욕; 15=목재공작(목공예); 16=숲속생활 체험; 17=산악마라톤; 18=산악스키(스노슈잉 포함); 19=산악자전거 타기; 20=행글라이딩 및 패러글라이딩; 21=래프팅, 계곡물놀이 등 수상활동; 22=산악승마; 23=동굴탐험, 계곡탐험; 24=암벽 및 빙벽타기; 25=숲속 족욕 및 스파; 26=숲속 문화공연 체험 .관람; 27=로프체험(짚라인 등); 28=별 관찰; 29=기타",
72,Q10_1A18,문10-1. 당일형 산림휴양.복지활동 경험 종류,Q10-1. 당일형 — 경험한 활동 종류(29종),범주형(코드),100.0,1,"1=등산; 2=하이킹(산책); 3=트레킹; 4=오리엔티어링, 지오캐싱; 5=소풍(피크닉); 6=야영(캠핑); 7=백패킹(배낭도보여행); 8=동식물 관찰 및 학습; 9=자연풍경감상; 10=명소탐방; 11=산나물 등 임산물 수확체험; 12=나무심기, 숲가꾸기 작업체험; 13=산림체조; 14=산림욕; 15=목재공작(목공예); 16=숲속생활 체험; 17=산악마라톤; 18=산악스키(스노슈잉 포함); 19=산악자전거 타기; 20=행글라이딩 및 패러글라이딩; 21=래프팅, 계곡물놀이 등 수상활동; 22=산악승마; 23=동굴탐험, 계곡탐험; 24=암벽 및 빙벽타기; 25=숲속 족욕 및 스파; 26=숲속 문화공연 체험 .관람; 27=로프체험(짚라인 등); 28=별 관찰; 29=기타",
